trial,task,variant,suspended,t_run_s,wall,type,kind,step,n_messages,request_chars,n_tool_calls,tool_names,output_chars,started_at,ttft_ms,e2e_ms,decode_ms,itl_ms_mean,itl_ms_p50,itl_ms_p95,n_output_chunks,prompt_tokens,cached_tokens,completion_tokens,server_prompt_ms,server_prompt_tokens_computed,server_decode_ms_per_token,finish_reason,retries,prefill_tokens_computed
billing-decimal__9BUpQ5q,billing-decimal,full,False,162.193,1789617508.605731,llm_call,agent,13,26,14654,1,['view_file'],0,1789617502.7492962,3662.2456250188407,5855.2940000081435,1876.2548329832498,208.4727592203611,155.63212501001544,491.92404199857265,10,3629,3482,23,2333.965,147,155.16109090909092,tool_calls,0,147
billing-decimal__9BUpQ5q,billing-decimal,full,False,177.982,1789617524.3948429,llm_call,agent,14,28,16055,1,['edit_file'],0,1789617508.97487,7780.460457986919,15419.008583005052,7401.046167011373,154.18846181273693,126.10879199928604,340.8323339826893,49,3988,3625,62,6123.587,363,151.05237704918034,tool_calls,0,363
billing-decimal__9BUpQ5q,billing-decimal,full,False,183.086,1789617529.4989388,llm_call,agent,15,30,16749,1,['view_file'],0,1789617524.767282,3003.0569170194212,4730.956209008582,1496.3863329903688,166.26514811004097,124.19895798666403,522.3292079754174,10,4131,3984,23,2028.639,147,119.60545454545455,tool_calls,0,147
billing-decimal__9BUpQ5q,billing-decimal,full,False,197.914,1789617544.327002,llm_call,agent,16,32,18150,1,['edit_file'],0,1789617529.724131,6483.382332982728,14601.66349998326,7787.162625027122,162.23255468806505,144.12275000358932,329.53133300179616,49,4490,4127,62,5367.053,363,150.46016393442622,tool_calls,0,363
billing-decimal__9BUpQ5q,billing-decimal,full,False,204.199,1789617550.6124082,llm_call,agent,17,34,18844,1,['view_file'],0,1789617545.132642,3569.1614170209505,5479.093041998567,1676.8137920007575,186.31264355563974,134.5924159977585,556.1864170012996,10,4633,4486,23,2090.834,147,149.96663636363635,tool_calls,0,147
billing-decimal__9BUpQ5q,billing-decimal,full,False,219.497,1789617565.9103942,llm_call,agent,18,36,20245,1,['edit_file'],0,1789617550.972482,7692.216291994555,14934.26162499236,6996.678625000641,145.76413802084667,135.05279101082124,181.497625017073,49,4992,4629,62,6411.02,363,138.38480327868854,tool_calls,0,363
billing-decimal__9BUpQ5q,billing-decimal,full,False,224.872,1789617571.284522,llm_call,agent,19,38,20939,1,['view_file'],0,1789617566.331616,3039.0323330066167,4952.0886249956675,1597.2120829974301,177.46800922193668,119.91775000933558,467.49154198914766,10,5135,4988,23,2050.444,147,128.6114090909091,tool_calls,0,147
billing-decimal__9BUpQ5q,billing-decimal,full,False,238.598,1789617585.011373,llm_call,agent,20,40,22341,1,['edit_file'],0,1789617571.5780768,7064.652250002837,13432.505750010023,6130.444500013255,127.71759375027614,117.70979198627174,161.5111249848269,49,5495,5131,62,6071.01,364,119.59114754098361,tool_calls,0,364
billing-decimal__9BUpQ5q,billing-decimal,full,False,243.916,1789617590.329005,llm_call,agent,21,42,23035,1,['view_file'],0,1789617585.391775,3092.8217910113744,4935.661875002552,1580.446000007214,175.60511111191266,130.6930000137072,468.4864589944482,10,5638,5491,23,2106.014,147,125.22672727272726,tool_calls,0,147
billing-decimal__9BUpQ5q,billing-decimal,full,False,258.041,1789617604.454106,llm_call,agent,22,44,24437,1,['edit_file'],0,1789617590.606776,6460.463708004681,13845.932500000345,7166.756708989851,149.30743143728856,126.4684589987155,210.8232080063317,49,5998,5634,62,5487.87,364,135.86152459016392,tool_calls,0,364
billing-decimal__9BUpQ5q,billing-decimal,full,False,263.46,1789617609.8726861,llm_call,agent,23,46,25132,1,['view_file'],0,1789617604.920529,3268.7602500081994,4951.55829100986,1446.7881250020582,160.7542361113398,121.80320799234323,482.1299579925835,10,6142,5994,23,2141.637,148,124.45631818181819,tool_calls,0,148
billing-decimal__9BUpQ5q,billing-decimal,full,False,277.12,1789617623.53325,llm_call,agent,24,48,26534,1,['edit_file'],0,1789617610.0527139,6688.742792000994,13479.70733299735,6549.74245800986,136.45296787520542,126.4569999766536,166.22341598849744,49,6502,6138,62,5649.746,364,127.26962295081968,tool_calls,0,364
billing-decimal__9BUpQ5q,billing-decimal,full,False,282.899,1789617629.312405,llm_call,agent,25,50,27229,1,['view_file'],0,1789617623.9184902,3571.586167003261,5392.658917000517,1516.7242079915013,168.5249119990557,131.78083297680132,521.4760419912636,10,6646,6498,23,2527.991,148,126.84881818181817,tool_calls,0,148
billing-decimal__9BUpQ5q,billing-decimal,full,False,297.483,1789617643.896072,llm_call,agent,26,52,28631,1,['edit_file'],0,1789617629.6153579,7556.977708998602,14279.326666990528,6479.590290982742,134.9914643954738,121.70720798894763,157.8553750005085,49,7006,6642,62,6478.363,364,126.37834426229507,tool_calls,0,364
billing-decimal__9BUpQ5q,billing-decimal,full,False,303.227,1789617649.6401742,llm_call,agent,27,54,29326,1,['view_file'],0,1789617644.337208,3371.8421249941457,5301.507249998394,1657.0555409998633,184.11728233331814,155.77295899856836,499.3905830197036,10,7150,7002,23,2240.376,148,135.06236363636364,tool_calls,0,148
billing-decimal__9BUpQ5q,billing-decimal,full,False,317.45,1789617663.863012,llm_call,agent,28,56,30728,1,['edit_file'],0,1789617649.956494,6901.120166992769,13905.091624998022,6616.266166995047,137.83887847906348,124.60612499853596,182.2915410157293,49,7510,7146,62,5811.874,364,131.1561967213115,tool_calls,0,364
billing-decimal__9BUpQ5q,billing-decimal,full,False,323.168,1789617669.5807831,llm_call,agent,29,58,31423,1,['view_file'],0,1789617664.291393,3516.0799579753075,5288.479290989926,1522.7313330105972,169.1923703345108,122.8730829898268,530.4544170212466,10,7654,7506,23,2391.672,148,127.7375909090909,tool_calls,0,148
billing-decimal__9BUpQ5q,billing-decimal,full,False,337.024,1789617683.436699,llm_call,agent,30,60,32825,1,['edit_file'],0,1789617669.8378549,6958.775374980178,13597.40149998106,6382.719125016592,132.97331510451235,123.30533302156255,146.75333301420324,49,8014,7650,62,5825.006,364,126.12231147540984,tool_calls,0,364
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,4.286,1789619293.267209,llm_call,agent,1,2,2686,1,['view_file'],0,1789619289.0797849,2742.359707975993,4187.205458001699,1235.1342080219183,137.23713422465758,104.05837500002235,408.91145801288076,10,734,578,23,1875.796,156,102.90436363636364,tool_calls,0,156
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,9.294,1789619298.274949,llm_call,agent,2,4,3347,1,['view_file'],0,1789619293.443072,3370.7313339982647,4831.685874989489,1257.2642909944989,139.6960323327221,104.29333400679752,410.97204099060036,10,952,730,23,2519.343,222,103.12918181818182,tool_calls,0,222
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,15.134,1789619304.1150138,llm_call,agent,3,6,4205,1,['view_file'],0,1789619298.411778,4347.343083994929,5703.02683400223,1141.3360830047168,142.6670103755896,104.32379099074751,414.77012500399724,9,1216,948,22,3508.205,268,102.57138095238095,tool_calls,0,268
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,20.426,1789619309.407115,llm_call,agent,4,8,4807,1,['view_file'],0,1789619304.252955,3383.7891669827513,5153.967749996809,1506.773333007004,136.97939390972763,106.87874999712221,416.6015830123797,12,1409,1212,25,2523.786,197,108.08691666666665,tool_calls,0,197
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,28.263,1789619317.244426,llm_call,agent,5,10,5495,1,['edit_file'],0,1789619309.579674,3491.212666995125,7664.239500008989,3956.0412500286475,123.62628906339523,105.3294999874197,139.122790977126,33,1543,1405,46,2558.843,138,112.5304888888889,tool_calls,0,138
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,32.378,1789619321.3592682,llm_call,agent,6,12,5895,1,['view_file'],0,1789619317.6406012,1922.9140840179753,3718.1509170040954,1568.8782499928493,142.6252954538954,106.59141701762564,413.934790994972,12,1614,1539,25,1043.796,75,109.339625,tool_calls,0,75
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,37.989,1789619326.96994,llm_call,agent,7,14,6784,1,['bash'],0,1789619321.576007,2967.190459021367,5393.335125001613,2210.9042499796487,130.05319117527347,109.2749579984229,142.68341701244935,18,1796,1610,30,2204.435,186,108.41406896551723,tool_calls,0,186
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,41.672,1789619330.653418,llm_call,agent,8,16,7196,1,['view_file'],0,1789619327.4526,1893.58579198597,3200.119458982954,1095.179708005162,156.45424400073742,104.17066697846167,466.72225001384504,8,1870,1792,21,941.544,78,110.63145,tool_calls,0,78
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,46.152,1789619335.13285,llm_call,agent,9,18,7690,1,['view_file'],0,1789619330.80065,2731.950792018324,4331.862667022506,1384.4292080029845,138.44292080029845,107.24850001861341,421.10458298702724,11,2005,1866,24,1870.032,139,105.21382608695653,tool_calls,0,139
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,50.143,1789619339.1238568,llm_call,agent,10,20,8300,1,['view_file'],0,1789619335.2905312,2388.6661670112517,3833.022250008071,1227.1300829888787,175.3042975698398,115.5934169946704,416.9017499953043,8,2122,2001,21,1509.783,121,113.9485,tool_calls,0,121
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,55.192,1789619344.1727612,llm_call,agent,11,22,8843,1,['view_file'],0,1789619339.297536,3191.0069580189884,4874.639207992004,1420.771833974868,157.86353710831867,118.80758299957961,428.5607919737231,10,2284,2118,23,2320.316,166,113.73590909090909,tool_calls,0,166
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,59.945,1789619348.9258711,llm_call,agent,12,24,9473,1,['view_file'],0,1789619344.361105,2890.583708009217,4563.70329100173,1435.9219579782803,143.59219579782803,111.04566699941643,411.84620797866955,11,2429,2280,24,1863.167,149,115.27504347826087,tool_calls,0,149
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,64.525,1789619353.506186,llm_call,agent,13,26,9956,1,['bash'],0,1789619349.099047,1869.9264579918236,4406.802499986952,2315.100417006761,136.18237747098593,108.2215000060387,195.9655419923365,18,2521,2425,30,1101.118,96,112.39327586206898,tool_calls,0,96
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,70.122,1789619359.103203,llm_call,agent,14,28,11061,1,['view_file'],0,1789619353.993387,3445.6692499807104,5109.199750004336,1432.6442910241894,143.26442910241894,107.08304098807275,417.6605000102427,11,2710,2517,24,2491.146,193,111.31521739130434,tool_calls,0,193
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,74.985,1789619363.9661922,llm_call,agent,15,30,11791,1,['view_file'],0,1789619359.283637,2929.3452090059873,4682.238667010097,1526.5085830178577,138.77350754707797,108.7526670016814,437.95566601329483,12,2864,2706,25,1952.689,158,111.66795833333333,tool_calls,0,158
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,90.397,1789619379.378143,llm_call,agent,16,32,12680,1,['edit_file'],0,1789619364.201796,3314.810415991815,15173.979290993884,11613.495249999687,138.25589583332962,113.79366600885987,282.27770898956805,85,3046,2860,106,2331.041,186,121.70928571428571,tool_calls,0,186
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,95.865,1789619384.846564,llm_call,agent,17,34,13406,1,['bash'],0,1789619379.753238,2666.6524579923134,5092.972166981781,2204.8487499996554,129.69698529409737,111.32075000205077,116.96804201346822,18,3177,3042,30,1774.702,135,112.32596551724137,tool_calls,0,135
config-deep-merge__YE5k6Xo,config-deep-merge,full,False,99.339,1789619388.3201091,llm_call,agent,18,36,14022,1,['submit'],0,1789619385.246788,2282.4879169929773,3072.61816697428,442.40379199618474,442.40379199618474,442.40379199618474,442.40379199618474,2,3288,3173,15,1439.515,115,112.7662142857143,tool_calls,0,115
csv-report-totals__TPBnSPN,csv-report-totals,full,False,4.113,1789619401.497656,llm_call,agent,1,2,2526,1,['view_file'],0,1789619397.5171142,2723.635499976808,3980.0582499883603,1035.52687499905,147.93241071415,105.89554099715315,406.3061250199098,8,711,578,21,1813.122,133,106.18440000000001,tool_calls,0,133
csv-report-totals__TPBnSPN,csv-report-totals,full,False,10.14,1789619407.524504,llm_call,agent,2,4,3616,1,['view_file'],0,1789619401.722166,4242.596333991969,5802.009500010172,1351.96770800394,150.21863422266,104.75362499710172,468.5636250069365,10,991,707,23,3344.95,284,109.62127272727274,tool_calls,0,284
csv-report-totals__TPBnSPN,csv-report-totals,full,False,15.058,1789619412.4429288,llm_call,agent,3,6,4085,1,['bash'],0,1789619407.6997938,3071.6483749856707,4742.592208000133,1463.1872910249513,133.01702645681374,105.02233399893157,424.198916007299,12,1153,987,24,2255.076,166,105.48973913043478,tool_calls,0,166
csv-report-totals__TPBnSPN,csv-report-totals,full,False,21.581,1789619418.966167,llm_call,agent,4,8,5298,1,['bash'],0,1789619413.001684,4099.436124990461,5963.993165991269,1643.8936660124455,136.99113883437045,109.52820902457461,157.52608299953863,13,1415,1149,25,3319.06,266,108.42808333333333,tool_calls,0,266
csv-report-totals__TPBnSPN,csv-report-totals,full,False,29.16,1789619426.5450392,llm_call,agent,5,10,5650,1,['edit_file'],0,1789619419.284375,2551.888834015699,7259.675042005256,4499.8321250022855,121.61708445952122,106.7695840029046,125.6692919996567,38,1487,1411,52,1280.753,76,116.3684705882353,tool_calls,0,76
csv-report-totals__TPBnSPN,csv-report-totals,full,False,33.717,1789619431.101412,llm_call,agent,6,12,6049,1,['bash'],0,1789619426.805762,1864.599124994129,4294.446249987232,2174.1394579876214,197.64904163523832,179.67858401243575,478.5375829960685,12,1560,1483,24,1067.741,77,137.79408695652174,tool_calls,0,77
csv-report-totals__TPBnSPN,csv-report-totals,full,False,37.807,1789619435.191606,llm_call,agent,7,14,6639,1,['submit'],0,1789619432.099104,2296.864917007042,3091.9424169987906,424.1964160173666,424.1964160173666,424.1964160173666,424.1964160173666,2,1665,1556,15,1412.799,109,114.20714285714287,tool_calls,0,109
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,5.593,1789617224.095387,llm_call,agent,1,2,2622,1,['view_file'],0,1789617218.623515,3506.654750002781,5470.428500004346,1696.2292919924948,188.46992133249944,126.44808398908935,538.9080829918385,10,721,578,23,1965.445,143,154.22972727272727,tool_calls,0,143
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,17.044,1789617235.546124,llm_call,agent,2,4,3518,1,['edit_file'],0,1789617224.710444,4082.6023340050597,10834.972125012428,6515.688624989707,148.0838323861297,126.8779169768095,218.42579200165346,45,926,717,60,3034.706,209,131.01416949152542,tool_calls,0,209
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,22.41,1789617240.91177,llm_call,agent,3,6,4006,1,['bash'],0,1789617236.0134609,1767.2882500046398,4897.579250013223,2923.9839579968248,162.4435532220458,121.90933298552409,241.7223329830449,19,1009,922,31,978.438,87,129.0029,tool_calls,0,87
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,36.94,1789617255.441969,llm_call,agent,4,8,5905,1,['view_file'],0,1789617241.6124601,9012.35554201412,13827.760709013091,4526.839124999242,205.76541477269282,163.2324999955017,354.74279199843295,23,1548,1005,38,8074.645,543,153.75045945945945,tool_calls,0,543
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,47.253,1789617265.754789,llm_call,agent,5,10,6671,1,['edit_file'],0,1789617256.039528,5100.974667002447,9713.18833398982,4345.965999993496,144.86553333311653,117.69795799045824,312.6042500080075,31,1719,1544,44,3914.211,175,133.53465116279068,tool_calls,0,175
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,53.522,1789617272.024488,llm_call,agent,6,12,7080,1,['bash'],0,1789617266.376659,1876.4930000179447,5647.321083000861,3535.520415985957,196.4178008881087,151.4071670244448,300.14004101394676,19,1786,1715,31,999.065,71,152.61856666666665,tool_calls,0,71
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,68.532,1789617287.034678,llm_call,agent,7,14,8583,1,['view_file'],0,1789617272.570613,9352.76070900727,14461.720042017987,4833.7159999937285,210.16156521711864,180.47804100206122,374.2207920004148,24,2172,1782,39,7923.351,390,170.3878947368421,tool_calls,0,390
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,76.915,1789617295.417254,llm_call,agent,8,16,9145,1,['edit_file'],0,1789617287.736882,2732.267084007617,7679.497875011293,4725.257749989396,138.97816911733517,117.30829198495485,220.93566702096723,35,2296,2168,49,1608.513,128,124.39770833333334,tool_calls,0,128
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,83.109,1789617301.611085,llm_call,agent,9,18,9559,1,['bash'],0,1789617295.968968,2817.60837501497,5641.268625011435,2598.179041990079,144.34328011055993,118.46420800429769,155.8516250224784,19,2369,2292,31,1652.871,77,129.56876666666668,tool_calls,0,77
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,94.411,1789617312.912771,llm_call,agent,10,20,11062,1,['view_file'],0,1789617302.267155,6805.525792005938,10644.676541996887,3558.4132079966366,148.26721699985987,124.31370801641606,233.4799579984974,25,2755,2365,40,5677.984,390,125.54705128205129,tool_calls,0,390
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,108.093,1789617326.595648,llm_call,agent,11,22,11817,1,['edit_file'],0,1789617313.301857,6651.062791002914,13292.544333002297,6379.768874990987,182.27911071402818,158.66345798713155,287.2150829934981,36,3018,2751,51,4597.501,267,172.6818,tool_calls,0,267
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,113.526,1789617332.0279942,llm_call,agent,12,24,12222,1,['bash'],0,1789617327.040782,2105.938166991109,4986.737917002756,2637.6396249979734,146.53553472210965,118.47650000709109,168.03025000263005,19,3093,3014,31,1141.144,79,126.118,tool_calls,0,79
daterange-inclusive__cWK6zQt,daterange-inclusive,full,False,117.461,1789617335.9631171,llm_call,agent,13,26,12846,1,['submit'],0,1789617332.7395258,2351.9477079971693,3222.7942909812555,480.72304198285565,480.72304198285565,480.72304198285565,480.72304198285565,2,3205,3089,15,1411.072,116,125.07728571428572,tool_calls,0,116
inventory-oversell__3B3ysNf,inventory-oversell,full,False,4.422,1789619449.153387,llm_call,agent,1,2,2670,1,['view_file'],0,1789619444.8313658,2702.7237079746556,4321.8020829954185,1406.0832080140244,140.60832080140244,105.47083299024962,413.8916250085458,11,724,578,24,1867.745,146,104.41821739130435,tool_calls,0,146
inventory-oversell__3B3ysNf,inventory-oversell,full,False,10.772,1789619455.503144,llm_call,agent,2,4,3774,1,['view_file'],0,1789619449.3320682,4349.347165989457,6170.762249996187,1569.059583998751,156.9059583998751,119.34841601760127,433.98187501588836,11,990,720,24,3478.179,270,115.34721739130434,tool_calls,0,270
inventory-oversell__3B3ysNf,inventory-oversell,full,False,27.422,1789619472.1531599,llm_call,agent,3,6,4453,1,['edit_file'],0,1789619455.6777012,2860.2706659876276,16474.94858299615,13388.99379200302,133.8899379200302,111.25420799362473,219.72587500931695,101,1116,986,128,1803.906,130,115.18534645669291,tool_calls,0,130
inventory-oversell__3B3ysNf,inventory-oversell,full,False,34.931,1789619479.662431,llm_call,agent,4,8,5267,1,['bash'],0,1789619472.5412228,3479.134291992523,7119.836707977811,3131.6612499940675,184.21536764670986,152.24445797502995,199.38450001063757,18,1269,1112,30,1838.034,157,180.2276896551724,tool_calls,0,157
inventory-oversell__3B3ysNf,inventory-oversell,full,False,47.664,1789619713.215853,llm_call,agent,5,10,6851,1,['view_file'],0,1789619480.757592,7016.407999995863,11635.716917022364,3835.6893330055755,383.56893330055755,321.19195800623856,893.5695000109263,11,1609,1265,24,226516.989,344,244.552,tool_calls,0,344
inventory-oversell__3B3ysNf,inventory-oversell,full,False,62.651,1789619728.2029681,llm_call,agent,6,12,8437,1,['view_file'],0,1789619714.376735,10715.505750005832,13825.21666600951,2732.8034579986706,273.28034579986706,213.4056250215508,815.0866659998428,11,1990,1605,24,9412.635,385,187.06760869565218,tool_calls,0,385
inventory-oversell__3B3ysNf,inventory-oversell,full,False,80.04,1789619745.591705,llm_call,agent,7,14,9313,1,['edit_file'],0,1789619728.626484,5898.095583979739,16964.30887497263,10687.171291006962,227.3866232129141,201.49158398271538,416.9989160145633,48,2163,1986,65,4561.773,177,192.35828125,tool_calls,0,177
inventory-oversell__3B3ysNf,inventory-oversell,full,False,86.929,1789619825.148729,llm_call,agent,8,16,9832,1,['bash'],0,1789619745.9402611,3278.1287080142647,6539.0837080194615,2980.0629999954253,175.29782352914268,131.57774999854155,408.1079169991426,18,2253,2159,30,2117.927,94,2656.292413793103,tool_calls,0,94
inventory-oversell__3B3ysNf,inventory-oversell,full,False,109.545,1789619847.764672,llm_call,agent,9,18,11608,1,['edit_file'],0,1789619825.8268101,12783.983917004662,21937.19287501881,8712.002957996447,193.60006573325438,181.27974998787977,254.4084169785492,46,2640,2249,59,11808.17,391,173.73749999999998,tool_calls,0,391
inventory-oversell__3B3ysNf,inventory-oversell,full,False,117.691,1789619855.911038,llm_call,agent,10,20,12082,1,['bash'],0,1789619848.092603,3696.9278329925146,7817.646374984179,3739.027667004848,219.94280394146165,205.74270901852287,268.9490409975406,18,2723,2636,30,2779.19,87,171.05858620689654,tool_calls,0,87
inventory-oversell__3B3ysNf,inventory-oversell,full,False,123.01,1789619861.23008,llm_call,agent,11,22,12697,1,['submit'],0,1789619856.364686,3978.234459005762,4864.961334009422,453.034915990429,453.034915990429,453.034915990429,453.034915990429,2,2834,2719,15,3133.294,115,118.01007142857144,tool_calls,0,115
log-error-summary__mFHgv9a,log-error-summary,full,False,5.941,1789618822.1947992,llm_call,agent,1,2,2975,1,['view_file'],0,1789618816.3534179,3969.1750000056345,5840.952958009439,1648.757792019751,149.88707200179553,103.94850000739098,614.4760000170209,12,806,579,25,2808.076,227,123.96745833333334,tool_calls,0,227
log-error-summary__mFHgv9a,log-error-summary,full,False,11.078,1789618827.3317592,llm_call,agent,2,4,3865,1,['view_file'],0,1789618822.499976,3383.124540996505,4831.587833003141,1240.964583994355,137.88495377715057,103.53749999194406,410.10525001911446,10,1017,802,23,2508.978,215,103.0430909090909,tool_calls,0,215
log-error-summary__mFHgv9a,log-error-summary,full,False,146.873,1789618963.1263418,llm_call,agent,3,6,20745,1,['bash'],0,1789618827.4759629,132934.17158297962,135648.98445797735,2401.242749998346,171.51733928559614,133.67124999058433,214.11258398438804,15,9229,1013,27,131908.655,8216,140.6175,tool_calls,0,8216
log-error-summary__mFHgv9a,log-error-summary,full,False,162.759,1789618979.012022,llm_call,agent,4,8,22235,1,['edit_file'],0,1789618964.0079281,7656.014832988149,14995.142792002298,6949.261667003157,154.42803704451458,134.63937499909662,208.51454199873842,46,9568,9225,59,6474.499,343,145.30239655172414,tool_calls,0,343
log-error-summary__mFHgv9a,log-error-summary,full,False,168.617,1789618984.870934,llm_call,agent,5,10,22683,1,['bash'],0,1789618979.476589,2757.7598330099136,5393.2815000007395,2365.879666991532,168.9914047851094,135.00179201946594,157.59012498892844,15,9653,9564,27,1667.768,89,140.69153846153847,tool_calls,0,89
log-error-summary__mFHgv9a,log-error-summary,full,False,174.451,1789618990.70447,llm_call,agent,6,12,23284,1,['bash'],0,1789618985.3508039,3190.278375026537,5352.716708002845,1891.9842909963336,236.4980363745417,139.58383299177513,830.7053329772316,9,9761,9649,21,1978.217,112,165.78334999999998,tool_calls,0,112
log-error-summary__mFHgv9a,log-error-summary,full,False,182.952,1789618999.205751,llm_call,agent,7,14,23931,1,['view_file'],0,1789618990.984362,3752.488458005246,8220.386000000872,4167.106666980544,166.68426667922176,137.47387498733588,268.2164589932654,26,9896,9757,41,2582.917,139,139.3703,tool_calls,0,139
